#colidx	rfcolidx	tag	numval	code	skipped?
1	-	GAPFRACT	0.095890	1	-
2	-	GAPFRACT	0.027397	0	-
3	-	GAPFRACT	0.000000	0	-
4	-	GAPFRACT	0.000000	0	-
5	-	GAPFRACT	0.000000	0	-
6	-	GAPFRACT	0.000000	0	-
7	-	GAPFRACT	0.000000	0	-
8	-	GAPFRACT	0.205479	2	-
9	-	GAPFRACT	0.972603	*	-
10	-	GAPFRACT	0.164384	2	-
11	-	GAPFRACT	0.000000	0	-
12	-	GAPFRACT	0.000000	0	-
13	-	GAPFRACT	0.000000	0	-
14	-	GAPFRACT	0.000000	0	-
15	-	GAPFRACT	0.000000	0	-
16	-	GAPFRACT	0.000000	0	-
17	-	GAPFRACT	0.000000	0	-
18	-	GAPFRACT	0.849315	8	-
19	-	GAPFRACT	0.000000	0	-
20	-	GAPFRACT	0.000000	0	-
21	-	GAPFRACT	0.000000	0	-
22	-	GAPFRACT	0.000000	0	-
23	-	GAPFRACT	0.000000	0	-
24	-	GAPFRACT	0.000000	0	-
25	-	GAPFRACT	0.000000	0	-
26	-	GAPFRACT	0.013699	0	-
27	-	GAPFRACT	0.013699	0	-
28	-	GAPFRACT	0.013699	0	-
29	-	GAPFRACT	0.013699	0	-
30	-	GAPFRACT	0.013699	0	-
31	-	GAPFRACT	0.013699	0	-
32	-	GAPFRACT	0.013699	0	-
33	-	GAPFRACT	0.013699	0	-
34	-	GAPFRACT	0.013699	0	-
35	-	GAPFRACT	0.013699	0	-
36	-	GAPFRACT	0.013699	0	-
37	-	GAPFRACT	0.013699	0	-
38	-	GAPFRACT	0.013699	0	-
39	-	GAPFRACT	0.013699	0	-
40	-	GAPFRACT	0.013699	0	-
41	-	GAPFRACT	0.013699	0	-
42	-	GAPFRACT	0.013699	0	-
43	-	GAPFRACT	0.013699	0	-
44	-	GAPFRACT	0.013699	0	-
45	-	GAPFRACT	0.013699	0	-
46	-	GAPFRACT	0.013699	0	-
47	-	GAPFRACT	0.013699	0	-
48	-	GAPFRACT	0.013699	0	-
49	-	GAPFRACT	0.013699	0	-
50	-	GAPFRACT	0.013699	0	-
51	-	GAPFRACT	0.013699	0	-
52	-	GAPFRACT	0.013699	0	-
53	-	GAPFRACT	0.027397	0	-
54	-	GAPFRACT	0.123288	1	-
55	-	GAPFRACT	0.164384	2	-
56	-	GAPFRACT	0.164384	2	-
57	-	GAPFRACT	0.191781	2	-
58	-	GAPFRACT	0.205479	2	-
59	-	GAPFRACT	0.219178	2	-
60	-	GAPFRACT	0.246575	2	-
61	-	GAPFRACT	0.328767	3	-
62	-	GAPFRACT	0.369863	4	-
63	-	GAPFRACT	0.424658	4	-
64	-	GAPFRACT	0.493151	5	-
65	-	GAPFRACT	0.698630	7	-
66	-	GAPFRACT	0.739726	7	-
67	-	GAPFRACT	0.794521	8	-
68	-	GAPFRACT	0.876712	9	-
69	-	GAPFRACT	0.917808	9	-
70	-	GAPFRACT	0.945205	9	-
71	-	GAPFRACT	0.958904	*	-
72	-	GAPFRACT	0.958904	*	-
73	-	GAPFRACT	0.958904	*	-
74	-	GAPFRACT	0.958904	*	-
75	-	GAPFRACT	0.958904	*	-
76	-	GAPFRACT	0.958904	*	-
77	-	GAPFRACT	0.958904	*	-
78	-	GAPFRACT	0.958904	*	-
79	-	GAPFRACT	0.958904	*	-
80	-	GAPFRACT	0.958904	*	-
81	-	GAPFRACT	0.958904	*	-
82	-	GAPFRACT	0.958904	*	-
83	-	GAPFRACT	0.972603	*	-
84	-	GAPFRACT	0.972603	*	-
85	-	GAPFRACT	0.972603	*	-
86	-	GAPFRACT	0.986301	*	-
87	-	GAPFRACT	0.972603	*	-
88	-	GAPFRACT	0.972603	*	-
89	-	GAPFRACT	0.972603	*	-
90	-	GAPFRACT	0.972603	*	-
91	-	GAPFRACT	0.958904	*	-
92	-	GAPFRACT	0.958904	*	-
93	-	GAPFRACT	0.958904	*	-
94	-	GAPFRACT	0.958904	*	-
95	-	GAPFRACT	0.958904	*	-
96	-	GAPFRACT	0.958904	*	-
97	-	GAPFRACT	0.958904	*	-
98	-	GAPFRACT	0.958904	*	-
99	-	GAPFRACT	0.958904	*	-
100	-	GAPFRACT	0.958904	*	-
101	-	GAPFRACT	0.958904	*	-
102	-	GAPFRACT	0.945205	9	-
103	-	GAPFRACT	0.931507	9	-
104	-	GAPFRACT	0.917808	9	-
105	-	GAPFRACT	0.835616	8	-
106	-	GAPFRACT	0.794521	8	-
107	-	GAPFRACT	0.712329	7	-
108	-	GAPFRACT	0.561644	6	-
109	-	GAPFRACT	0.000000	0	-
110	-	GAPFRACT	0.000000	0	-
111	-	GAPFRACT	0.000000	0	-
