#colidx	rfcolidx	tag	numval	code	skipped?
1	1	GAPFRACT	0.095890	1	-
2	2	GAPFRACT	0.027397	0	-
3	3	GAPFRACT	0.000000	0	-
4	4	GAPFRACT	0.000000	0	-
5	5	GAPFRACT	0.000000	0	-
6	6	GAPFRACT	0.000000	0	-
7	7	GAPFRACT	0.000000	0	-
8	8	GAPFRACT	0.205479	2	-
9	-	GAPFRACT	0.972603	.	-
10	9	GAPFRACT	0.164384	2	-
11	10	GAPFRACT	0.000000	0	-
12	11	GAPFRACT	0.000000	0	-
13	12	GAPFRACT	0.000000	0	-
14	13	GAPFRACT	0.000000	0	-
15	14	GAPFRACT	0.000000	0	-
16	15	GAPFRACT	0.000000	0	-
17	16	GAPFRACT	0.000000	0	-
18	-	GAPFRACT	0.849315	.	-
19	17	GAPFRACT	0.000000	0	-
20	18	GAPFRACT	0.000000	0	-
21	19	GAPFRACT	0.000000	0	-
22	20	GAPFRACT	0.000000	0	-
23	21	GAPFRACT	0.000000	0	-
24	22	GAPFRACT	0.000000	0	-
25	23	GAPFRACT	0.000000	0	-
26	24	GAPFRACT	0.013699	0	-
27	25	GAPFRACT	0.013699	0	-
28	26	GAPFRACT	0.013699	0	-
29	27	GAPFRACT	0.013699	0	-
30	28	GAPFRACT	0.013699	0	-
31	29	GAPFRACT	0.013699	0	-
32	30	GAPFRACT	0.013699	0	-
33	31	GAPFRACT	0.013699	0	-
34	32	GAPFRACT	0.013699	0	-
35	33	GAPFRACT	0.013699	0	-
36	34	GAPFRACT	0.013699	0	-
37	35	GAPFRACT	0.013699	0	-
38	36	GAPFRACT	0.013699	0	-
39	37	GAPFRACT	0.013699	0	-
40	38	GAPFRACT	0.013699	0	-
41	39	GAPFRACT	0.013699	0	-
42	40	GAPFRACT	0.013699	0	-
43	41	GAPFRACT	0.013699	0	-
44	42	GAPFRACT	0.013699	0	-
45	43	GAPFRACT	0.013699	0	-
46	44	GAPFRACT	0.013699	0	-
47	45	GAPFRACT	0.013699	0	-
48	46	GAPFRACT	0.013699	0	-
49	47	GAPFRACT	0.013699	0	-
50	48	GAPFRACT	0.013699	0	-
51	49	GAPFRACT	0.013699	0	-
52	50	GAPFRACT	0.013699	0	-
53	51	GAPFRACT	0.027397	0	-
54	52	GAPFRACT	0.123288	1	-
55	53	GAPFRACT	0.164384	2	-
56	54	GAPFRACT	0.164384	2	-
57	55	GAPFRACT	0.191781	2	-
58	56	GAPFRACT	0.205479	2	-
59	57	GAPFRACT	0.219178	2	-
60	58	GAPFRACT	0.246575	2	-
